Country,Population_M,GDP_B_USD,IT_Market_M_USD,Cybersecurity_Spending_M_USD,Banks_Count,Insurance_Companies,SMEs_Count,Internet_Penetration_Pct,Mobile_Penetration_Pct
Senegal,18.5,32.3,806.7,24.2,29,30,74007,58.2,115.5
Cote_Ivoire,31.9,86.5,2163.5,64.9,29,32,127736,47.0,142.3
Cameroon,29.1,51.3,1283.2,38.5,19,30,116494,38.5,89.7
Morocco,38.1,154.4,3860.8,115.8,32,26,152324,88.1,132.8
Tunisia,12.3,53.4,1335.2,40.1,26,22,49108,74.3,130.2
Burkina_Faso,23.5,23.3,581.3,17.4,16,17,94195,24.5,110.8
