Segment,Total_Clients,ARPU_USD,Revenue_Potential_M_USD,Market_Share_Pct
Banques,151.0,50000,7.55,10.25168915249082
Assurances,157.0,30000,4.71,6.395424623606856
PME,12277.28,5000,61.3864,83.35288622390232
